Step,Value
1611,0.5132339
1612,0.51220566
1613,0.50881505
1614,0.50435334
1615,0.5001486
1616,0.49739158
1617,0.4967221
1618,0.49610403
1619,0.49436668
1620,0.49080127
1621,0.48725456
1622,0.48529333
1623,0.48579797
1624,0.48801175
1625,0.4894442
1626,0.48983812
1627,0.49010658
1628,0.49113828
1629,0.49339202
1630,0.4964936
1631,0.50009716
1632,0.5036471
1633,0.50682855
1634,0.5096619
1635,0.51214594
1636,0.51342565
1637,0.51472515
1638,0.5174255
1639,0.5201337
1640,0.52273756
1641,0.5248004
1642,0.5270041
1643,0.52899987
1644,0.52995914
1645,0.53006124
1646,0.5297665
1647,0.52874494
1648,0.52636456
1649,0.5234783
1650,0.5219893
1651,0.52299064
1652,0.52503884
1653,0.5271064
1654,0.5295612
1655,0.53269553
1656,0.5345351
1657,0.53498966
1658,0.5342495
1659,0.53339374
1660,0.53209144
1661,0.53063184
1662,0.5281798
1663,0.52496266
1664,0.52145404
1665,0.5182082
1666,0.5145517
1667,0.5116964
1668,0.50877637
1669,0.5058473
1670,0.50329787
1671,0.5020862
